País,Tarics,Descripción,Año,Exportaciones,Importaciones
Corea del Sur,1104,Cereales y harinas,2008,205.26,1.02
Corea del Sur,0401,"Huevos, productos lácteos y miel",2008,2600.66,nan
Corea del Sur,0402,"Huevos, productos lácteos y miel",2008,5509.16,nan
Corea del Sur,0403,"Huevos, productos lácteos y miel",2008,756.95,nan
Corea del Sur,0404,"Huevos, productos lácteos y miel",2008,45643.13,69.75
Corea del Sur,0405,"Huevos, productos lácteos y miel",2008,2209.19,nan
Corea del Sur,0406,"Huevos, productos lácteos y miel",2008,122589.35,nan
Corea del Sur,0407,"Huevos, productos lácteos y miel",2008,42.35,nan
Corea del Sur,0408,"Huevos, productos lácteos y miel",2008,293.25,nan
Corea del Sur,0409,"Huevos, productos lácteos y miel",2008,523.90,nan
Corea del Sur,1509,Aceites,2008,99009.33,258.00
Corea del Sur,1511,Aceites,2008,6323.45,nan
Corea del Sur,1512,Aceites,2008,3868.39,329.81
Corea del Sur,2201,Bebidas,2008,50473.28,25.18
Corea del Sur,2202,Bebidas,2008,43803.04,7515.32
Corea del Sur,2203,Bebidas,2008,144989.52,69.75
Corea del Sur,2204,Bebidas,2008,645955.20,14.64
Corea del Sur,2205,Bebidas,2008,6094.18,2.98
Corea del Sur,2206,Bebidas,2008,3993.06,207.82
Corea del Sur,2207,Bebidas,2008,402.04,nan
Corea del Sur,1803,Chocolates,2008,2378.98,nan
Corea del Sur,1804,Chocolates,2008,911.41,nan
Corea del Sur,1805,Chocolates,2008,10728.50,nan
Corea del Sur,1905,Panaderia y pastelería,2008,92816.05,979.33
Corea del Sur,0201,Productos cárnicos,2009,nan,nan
Corea del Sur,0202,Productos cárnicos,2009,14.11,nan
Corea del Sur,0203,Productos cárnicos,2009,180503.47,406.62
Corea del Sur,0204,Productos cárnicos,2009,42.05,nan
Corea del Sur,0205,Productos cárnicos,2009,4.25,nan
Corea del Sur,0206,Productos cárnicos,2009,11768.54,nan
Corea del Sur,0207,Productos cárnicos,2009,4131.70,nan
Corea del Sur,0208,Productos cárnicos,2009,50.33,nan
Corea del Sur,0209,Productos cárnicos,2009,295.85,nan
Corea del Sur,0210,Productos cárnicos,2009,4501.67,4.39
Corea del Sur,0302,Pescados y mariscos,2009,3156.25,6.16
Corea del Sur,0303,Pescados y mariscos,2009,9212.39,36040.50
