País,Tarics,Descripción,Año,Exportaciones,Importaciones
Canadá,0805,Frutas y frutos secos,2008,6299.89,nan
Canadá,0806,Frutas y frutos secos,2008,1221.46,95.23
Canadá,0807,Frutas y frutos secos,2008,0.07,7.45
Canadá,0808,Frutas y frutos secos,2008,1562.15,28.82
Canadá,0809,Frutas y frutos secos,2008,724.76,2186.79
Canadá,0810,Frutas y frutos secos,2008,6845.80,1934.98
Canadá,1101,Cereales y harinas,2008,1101.34,874.24
Canadá,1102,Cereales y harinas,2008,42.38,nan
Canadá,1103,Cereales y harinas,2008,117.51,68.64
Canadá,1104,Cereales y harinas,2008,199.50,1327.89
Canadá,0401,"Huevos, productos lácteos y miel",2008,1598.06,0.17
Canadá,0402,"Huevos, productos lácteos y miel",2008,107.18,1672.85
Canadá,0403,"Huevos, productos lácteos y miel",2008,201.35,0.15
Canadá,0404,"Huevos, productos lácteos y miel",2008,1294.21,2289.16
Canadá,0405,"Huevos, productos lácteos y miel",2008,279.75,nan
Canadá,0406,"Huevos, productos lácteos y miel",2008,101736.86,1.97
Canadá,0407,"Huevos, productos lácteos y miel",2008,41.42,5424.50
Canadá,0408,"Huevos, productos lácteos y miel",2008,13.48,26.38
Canadá,0409,"Huevos, productos lácteos y miel",2008,454.57,1918.17
Canadá,1509,Aceites,2008,73348.80,48.18
Canadá,1511,Aceites,2008,3765.85,nan
Canadá,1512,Aceites,2008,889.45,20.48
Canadá,2201,Bebidas,2008,47010.70,229.83
Canadá,2202,Bebidas,2008,41219.89,6301.49
Canadá,2203,Bebidas,2008,133313.48,848.57
Canadá,2204,Bebidas,2008,585262.24,877.38
Canadá,2205,Bebidas,2008,5890.28,nan
Canadá,2206,Bebidas,2008,3726.53,350.63
Canadá,2207,Bebidas,2008,135.86,131.15
Canadá,1803,Chocolates,2008,83.64,nan
Canadá,1804,Chocolates,2008,90.61,0.11
Canadá,1805,Chocolates,2008,6416.17,nan
Canadá,1905,Panaderia y pastelería,2008,81504.99,3836.69
Canadá,0201,Productos cárnicos,2009,nan,3876.16
Canadá,0202,Productos cárnicos,2009,13.88,447.43
Canadá,0203,Productos cárnicos,2009,6960.17,942.85
Canadá,0204,Productos cárnicos,2009,42.05,nan
Canadá,0205,Productos cárnicos,2009,4.25,27529.15
Canadá,0206,Productos cárnicos,2009,105.90,176.18
Canadá,0207,Productos cárnicos,2009,309.69,433.47
Canadá,0208,Productos cárnicos,2009,50.33,33.46
Canadá,0209,Productos cárnicos,2009,148.22,nan
Canadá,0210,Productos cárnicos,2009,4152.74,60.80
Canadá,0302,Pescados y mariscos,2009,3103.45,12668.60
Canadá,0303,Pescados y mariscos,2009,3776.98,12210.67
Canadá,0304,Pescados y mariscos,2009,1606.56,14554.29
Canadá,0305,Pescados y mariscos,2009,667.26,12570.98
Canadá,0701,Verduras y hortalizas,2009,13.04,nan
Canadá,0702,Verduras y hortalizas,2009,3215.21,2.52
Canadá,0703,Verduras y hortalizas,2009,1401.92,nan
Canadá,0704,Verduras y hortalizas,2009,177.54,nan
Canadá,0705,Verduras y hortalizas,2009,650.53,nan
Canadá,0706,Verduras y hortalizas,2009,69.78,6.83
Canadá,0707,Verduras y hortalizas,2009,334.00,nan
Canadá,0708,Verduras y hortalizas,2009,183.56,653.28
Canadá,0803,Frutas y frutos secos,2009,1.25,nan
Canadá,0804,Frutas y frutos secos,2009,1677.88,4.51
Canadá,0805,Frutas y frutos secos,2009,4795.63,0.03
Canadá,0806,Frutas y frutos secos,2009,682.28,243.55
Canadá,0807,Frutas y frutos secos,2009,60.20,2.94
Canadá,0808,Frutas y frutos secos,2009,1337.28,0.36
Canadá,0809,Frutas y frutos secos,2009,1606.22,2488.21
Canadá,0810,Frutas y frutos secos,2009,7369.03,1139.61
Canadá,1101,Cereales y harinas,2009,861.09,776.92
Canadá,1102,Cereales y harinas,2009,44.69,0.05
Canadá,1103,Cereales y harinas,2009,501.50,26.24
Canadá,1104,Cereales y harinas,2009,53.09,184.72
Canadá,0401,"Huevos, productos lácteos y miel",2009,896.34,nan
Canadá,0402,"Huevos, productos lácteos y miel",2009,278.35,450.59
Canadá,0403,"Huevos, productos lácteos y miel",2009,23.43,nan
Canadá,0404,"Huevos, productos lácteos y miel",2009,1595.97,622.52
Canadá,0405,"Huevos, productos lácteos y miel",2009,210.04,nan
Canadá,0406,"Huevos, productos lácteos y miel",2009,94275.08,0.50
Canadá,0407,"Huevos, productos lácteos y miel",2009,35.97,9466.49
Canadá,0408,"Huevos, productos lácteos y miel",2009,18.06,99.70
Canadá,0409,"Huevos, productos lácteos y miel",2009,668.42,1541.49
Canadá,1509,Aceites,2009,63498.82,nan
Canadá,1511,Aceites,2009,3425.95,nan
Canadá,1512,Aceites,2009,219.51,50.92
Canadá,2201,Bebidas,2009,39043.00,88.03
Canadá,2202,Bebidas,2009,23662.13,5565.92
Canadá,2203,Bebidas,2009,117176.27,668.71
Canadá,2204,Bebidas,2009,524646.17,529.09
Canadá,2205,Bebidas,2009,5581.38,1.46
Canadá,2206,Bebidas,2009,4003.56,342.50
Canadá,2207,Bebidas,2009,56.25,61.90
Canadá,1803,Chocolates,2009,6040.38,nan
Canadá,1804,Chocolates,2009,193.86,nan
Canadá,1805,Chocolates,2009,7287.85,10.49
Canadá,1905,Panaderia y pastelería,2009,84510.95,6550.94
Canadá,0201,Productos cárnicos,2010,0.39,3390.82
Canadá,0202,Productos cárnicos,2010,10.94,376.75
Canadá,0203,Productos cárnicos,2010,9570.02,1754.67
Canadá,0204,Productos cárnicos,2010,1.90,nan
Canadá,0205,Productos cárnicos,2010,nan,26760.68
