País,Tarics,Descripción,Año,Exportaciones,Importaciones
Singapur,0810,Frutas y frutos secos,2009,966.05,6.27
Singapur,1101,Cereales y harinas,2009,398.02,nan
Singapur,1102,Cereales y harinas,2009,47.73,28.58
Singapur,1103,Cereales y harinas,2009,4.75,nan
Singapur,1104,Cereales y harinas,2009,531.47,nan
Singapur,0401,"Huevos, productos lácteos y miel",2009,4008.20,nan
Singapur,0402,"Huevos, productos lácteos y miel",2009,19015.32,0.04
Singapur,0403,"Huevos, productos lácteos y miel",2009,3013.97,0.65
Singapur,0404,"Huevos, productos lácteos y miel",2009,6471.17,4.14
Singapur,0405,"Huevos, productos lácteos y miel",2009,12644.92,nan
Singapur,0406,"Huevos, productos lácteos y miel",2009,9258.32,6.48
Singapur,0407,"Huevos, productos lácteos y miel",2009,75.06,nan
Singapur,0408,"Huevos, productos lácteos y miel",2009,2.98,nan
Singapur,0409,"Huevos, productos lácteos y miel",2009,234.75,0.95
Singapur,1509,Aceites,2009,3032.09,194.73
Singapur,1511,Aceites,2009,1.13,8124.91
Singapur,1512,Aceites,2009,211.43,0.05
Singapur,2201,Bebidas,2009,4534.22,0.22
Singapur,2202,Bebidas,2009,6588.49,9750.38
Singapur,2203,Bebidas,2009,15597.41,1956.06
Singapur,2204,Bebidas,2009,132324.95,241.36
Singapur,2205,Bebidas,2009,280.94,41.77
Singapur,2206,Bebidas,2009,158.12,0.17
Singapur,2207,Bebidas,2009,779.91,0.02
Singapur,1803,Chocolates,2009,4051.17,34.05
Singapur,1804,Chocolates,2009,55.48,20.23
Singapur,1805,Chocolates,2009,3923.97,12.88
Singapur,1905,Panaderia y pastelería,2009,12502.48,6203.92
Singapur,0201,Productos cárnicos,2010,6.81,nan
Singapur,0202,Productos cárnicos,2010,3.06,nan
Singapur,0203,Productos cárnicos,2010,35381.24,nan
Singapur,0204,Productos cárnicos,2010,0.45,nan
Singapur,0205,Productos cárnicos,2010,nan,nan
Singapur,0206,Productos cárnicos,2010,6726.13,9.64
Singapur,0207,Productos cárnicos,2010,2212.84,nan
Singapur,0208,Productos cárnicos,2010,24.13,nan
Singapur,0209,Productos cárnicos,2010,439.39,nan
Singapur,0210,Productos cárnicos,2010,2866.87,nan
Singapur,0302,Pescados y mariscos,2010,317.28,nan
Singapur,0303,Pescados y mariscos,2010,4110.26,8763.26
Singapur,0304,Pescados y mariscos,2010,10536.04,251.22
Singapur,0305,Pescados y mariscos,2010,589.56,0.00
Singapur,0701,Verduras y hortalizas,2010,217.86,nan
Singapur,0702,Verduras y hortalizas,2010,134.21,nan
Singapur,0703,Verduras y hortalizas,2010,3397.25,nan
Singapur,0704,Verduras y hortalizas,2010,16.63,nan
Singapur,0705,Verduras y hortalizas,2010,30.88,nan
Singapur,0706,Verduras y hortalizas,2010,11.97,nan
Singapur,0707,Verduras y hortalizas,2010,3.31,nan
Singapur,0708,Verduras y hortalizas,2010,26.22,nan
Singapur,0803,Frutas y frutos secos,2010,nan,nan
Singapur,0804,Frutas y frutos secos,2010,16.56,1.60
Singapur,0805,Frutas y frutos secos,2010,283.78,3.99
Singapur,0806,Frutas y frutos secos,2010,108.64,0.79
Singapur,0807,Frutas y frutos secos,2010,471.70,nan
Singapur,0808,Frutas y frutos secos,2010,3798.29,nan
Singapur,0809,Frutas y frutos secos,2010,162.34,nan
Singapur,0810,Frutas y frutos secos,2010,1443.57,5.72
Singapur,1101,Cereales y harinas,2010,115.50,0.53
Singapur,1102,Cereales y harinas,2010,53.76,nan
Singapur,1103,Cereales y harinas,2010,2.09,1.16
Singapur,1104,Cereales y harinas,2010,484.75,nan
Singapur,0401,"Huevos, productos lácteos y miel",2010,6304.87,30.24
Singapur,0402,"Huevos, productos lácteos y miel",2010,37040.77,1.94
Singapur,0403,"Huevos, productos lácteos y miel",2010,4189.73,nan
Singapur,0404,"Huevos, productos lácteos y miel",2010,9543.24,1.65
